"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr909","BRERC Notable Species records within the last 10 years","doi:10.15468/vntgox","Bristol Regional Environmental Records Centre ([Insert download year]). BRERC Notable Species records within the last 10 years. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) BRERC retains copyright. The data is provided via the NBN Atlas for non-commercial purposes.","For more information: email info@brerc.org.uk, or https://registry.nbnatlas.org/public/show/dr909","","","","1431"
"dp57","Bat Conservation Trust","","Records provided by Bat Conservation Trust, accessed through NBN Atlas website.","","For more information: email enquiries@bats.org.uk, or https://registry.nbnatlas.org/public/show/dp57","","","","4"
"dp56","Royal Horticultural Society","","Records provided by Royal Horticultural Society, accessed through NBN Atlas website.","","For more information: email membership@rhs.org.uk, or https://registry.nbnatlas.org/public/show/dp56","","","","17"
"dr2581","Nottinghamshire Wildlife Trust - Records","10.15468/p2vf4u","Data supplied by Nottinghamshire Wildlife Trust","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC BY-NC
      		Creative Commons Attribution Non-Commercial","For more information: email info@nottswt.co.uk, or https://registry.nbnatlas.org/public/show/dr2581","","","","31"
"dr2582","Yorkshire Wildlife Trust - Records","10.15468/7vpuhc","Data supplied by Yorkshire Wildlife Trust","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information: email info@ywt.org.uk, or https://registry.nbnatlas.org/public/show/dr2582","","","","2"
"dp291","Holy Loch Nature Reserve","","Records provided by Holy Loch Nature Reserve, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp291","","","","1"
"dr2464","Leicestershire and Rutland Environmental Records Centre records 2000-2009","10.15468/cs2zzf","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records 2000-2009. Occurrence dataset on the NBN Atlas.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2464","","","","345"
"dr2465","Leicestershire and Rutland Environmental Records Centre records 2010-2014","10.15468/9n92x3","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records 2010-2014. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2465","","","","569"
"dr3553","National Peatland Action Programme Water Vole and Otter Surveys","10.15468/adnwtk","Natural Resources Wales. ([Insert year of download]) National Peatland Action Programme Water Vole and Otter Surveys. Occurrence dataset accessed through the NBNAtlas.","Open Government Licence (OGL) © CNC/NRW

Data may be re-used under the terms of the Open Government Licence providing it is done so, acknowledging both the source and NRW's copyright. It is the recipient's responsibility to ensure the data is fit for the intended purpose.

Attribution statement: Contains Natural Resources Wales information © Natural Resources Wales and Database Right. All rights Reserved.
Natural Resources Wales. ([Insert year of download]) National Peatland Action Programme Water Vole and Otter Surveys. Occurrence dataset accessed through the NBNAtlas.","For more information:  https://registry.nbnatlas.org/public/show/dr3553","","","","15"
"dr3310","Record species dataset covering Cheshire, Halton, Warrington & Wirral","10.15468/5yc69s","Records provided by Record species dataset covering Cheshire, Halton, Warrington & Wirral, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr3310","","","","5"
